ticker,fold,config,rmse_ret,rmse_vs_zero,dir_acc,mean_abs_pred,fit_secs
AMZN,0,xgb_tuned_volscale,0.023716965935040614,1.0052062787514071,0.47,0.0016031659851184943,0.13
AMZN,0,xgb_tuned_decay,0.024081477354011633,1.020655521627997,0.43,0.0017632896834402344,0.11
AMZN,1,xgb_default,0.02395734158687703,1.2529014295146341,0.35714285714285715,0.006937149050900189,0.14
AMZN,1,xgb_tuned,0.01943978754042629,1.0166460878197892,0.2857142857142857,0.0007626843446632847,0.13
AMZN,1,xgb_tuned_volscale,0.019619441713240128,1.026041494614841,0.32653061224489793,0.0010290726130409464,0.14
AMZN,1,xgb_tuned_decay,0.019373510563664608,1.0131799887692123,0.4897959183673469,0.0015273357591831882,0.12
AMZN,2,xgb_default,0.018395404880971702,1.0022816165877515,0.58,0.005672056648836588,0.14
AMZN,2,xgb_tuned,0.018311518564150513,0.9977110342180151,0.51,0.000594457255629095,0.14
AMZN,2,xgb_tuned_volscale,0.01826879020053784,0.995382960787016,0.5,0.000791044703456641,0.14
AMZN,2,xgb_tuned_decay,0.018154799073634233,0.9891721047776554,0.52,0.0009810681484577798,0.12
AMZN,3,xgb_default,0.02111069646838765,1.2313233482443493,0.5050505050505051,0.006014969010066124,0.14
AMZN,3,xgb_tuned,0.017232553548986798,1.0051229511310897,0.5050505050505051,0.0009639390086067578,0.16
AMZN,3,xgb_tuned_volscale,0.01722141926406719,1.0044735218236271,0.5151515151515151,0.0010218913600826955,0.24
AMZN,3,xgb_tuned_decay,0.017223278842850458,1.0045819854537668,0.5353535353535354,0.0021002278779633345,0.26
AMZN,4,xgb_default,0.01849995931242772,1.02150751645025,0.53,0.005176014589160331,0.24
AMZN,4,xgb_tuned,0.018128228360853926,1.000981743678699,0.48,0.0007522858763888962,0.21
AMZN,4,xgb_tuned_volscale,0.018116869283442687,1.0003545324097678,0.53,0.0008938493213666074,0.22
AMZN,4,xgb_tuned_decay,0.017968708198152727,0.9921735596998739,0.58,0.0007735832438811486,0.13
META,0,xgb_default,0.034407018786959974,1.0241234723501549,0.58,0.008491107934023603,0.2
META,0,xgb_tuned,0.034046517686729554,1.0133931722087794,0.46,0.0022609693465710733,0.14
META,0,xgb_tuned_volscale,0.033992499869653206,1.011785334147146,0.49,0.00271082214985128,0.14
META,0,xgb_tuned_decay,0.03420394920649949,1.0180791147974833,0.46,0.0026084950545191533,0.12
META,1,xgb_default,0.02122625492193996,1.1426993879285359,0.5050505050505051,0.007551863320950361,0.13
META,1,xgb_tuned,0.018594568079718966,1.0010245161772704,0.494949494949495,0.001683916209221934,0.13
META,1,xgb_tuned_volscale,0.01858515686248486,1.0005178704117963,0.48484848484848486,0.0018185019232601083,0.13
META,1,xgb_tuned_decay,0.01857577877297465,1.0000130080522955,0.5252525252525253,0.0035445439984323457,0.12
META,2,xgb_default,0.02810395932913634,1.0479917372391245,0.49,0.0070082617284788285,0.14
META,2,xgb_tuned,0.02663759874032128,0.9933114068666671,0.52,0.001479045500382199,0.13
META,2,xgb_tuned_volscale,0.026678379790696653,0.9948321251159643,0.49,0.002316204536715861,0.14
META,2,xgb_tuned_decay,0.02643058470527103,0.98559188963835,0.55,0.002238480979576707,0.12
META,3,xgb_default,0.025716123009418373,1.1329556730563364,0.55,0.008615587773238075,0.14
