ticker,fold,config,feat_set,n_features,horizon,n_train,n_test,eff_test,rmse_ret,rmse_rw,rmse_ratio,dir_acc,dir_baseline,dir_edge
META,2,base_h1,base,18,1,644,100,100.0,0.02810395932913634,0.02681696651843329,1.0479917372391245,0.49,0.55,-0.06000000000000005
META,3,base_h1,base,18,1,744,100,100.0,0.025716123009418373,0.022698260506560555,1.1329556730563364,0.55,0.56,-0.010000000000000009
META,4,base_h1,base,18,1,844,100,100.0,0.017994193869131092,0.01541658357195606,1.1671972447815158,0.5858585858585859,0.5050505050505051,0.08080808080808077
META,0,ext_h1,ext,29,1,244,100,100.0,0.090285370182004,0.03359655326325337,2.687340260012764,0.47,0.53,-0.06000000000000005
META,1,ext_h1,ext,29,1,344,100,100.0,0.030571119530216732,0.018575537141416097,1.6457731099498185,0.5151515151515151,0.5252525252525253,-0.010101010101010166
META,2,ext_h1,ext,29,1,444,100,100.0,0.029756962617016554,0.02681696651843329,1.109631941277265,0.49,0.55,-0.06000000000000005
META,3,ext_h1,ext,29,1,544,100,100.0,0.02869536974538698,0.022698260506560555,1.2642100806400147,0.5,0.56,-0.06000000000000005
META,4,ext_h1,ext,29,1,644,100,100.0,0.020592472289272253,0.01541658357195606,1.335735131792204,0.5050505050505051,0.5050505050505051,0.0
META,0,ext_h5,ext,29,5,240,100,20.0,0.16198156229461833,0.07887746967860779,2.0535846668842757,0.27,0.73,-0.45999999999999996
META,1,ext_h5,ext,29,5,340,100,20.0,0.08346562556117802,0.03961471401236577,2.1069349518748046,0.35,0.59,-0.24
META,2,ext_h5,ext,29,5,440,100,20.0,0.06164683104395121,0.053060714435280584,1.16181683002296,0.51,0.76,-0.25
META,3,ext_h5,ext,29,5,540,100,20.0,0.07440281640066765,0.04958131924542702,1.5006219586932423,0.41,0.54,-0.13000000000000006
META,4,ext_h5,ext,29,5,640,96,19.2,0.05468098785622328,0.034937150885593765,1.5651244154190842,0.4791666666666667,0.5729166666666666,-0.09374999999999994
META,0,ext_h20,ext,29,20,225,100,5.0,0.33628006536759975,0.18008961380663524,1.867292945214866,0.05,0.95,-0.8999999999999999
META,1,ext_h20,ext,29,20,325,100,5.0,0.18479305849029673,0.0634137856554773,2.914083374461582,0.35,0.68,-0.33000000000000007
META,2,ext_h20,ext,29,20,425,100,5.0,0.10799181469672471,0.1361972596113377,0.792907397732509,0.87,0.94,-0.06999999999999995
META,3,ext_h20,ext,29,20,525,100,5.0,0.16259113349910218,0.079549697323421,2.0438938043731834,0.23,0.54,-0.31000000000000005
META,4,ext_h20,ext,29,20,625,81,4.0,0.09870862632486216,0.07055240998996964,1.39908227569966,0.345679012345679,0.691358024691358,-0.345679012345679
NVDA,0,base_h1,base,18,1,444,100,100.0,0.03878062722379582,0.03935232573256697,0.9854723069569932,0.48,0.61,-0.13
NVDA,1,base_h1,base,18,1,544,100,100.0,0.02985426440072816,0.025173313201931568,1.1859489516237942,0.49,0.5,-0.010000000000000009
NVDA,2,base_h1,base,18,1,644,100,100.0,0.02911804062812039,0.029178748901977726,0.9979194353376398,0.5959595959595959,0.6262626262626263,-0.030303030303030387
NVDA,3,base_h1,base,18,1,744,100,100.0,0.03720074644474478,0.036735418852226524,1.0126670011410541,0.59,0.53,0.05999999999999994
NVDA,4,base_h1,base,18,1,844,100,100.0,0.03071725089077098,0.028088581083301895,1.0935849981055745,0.53,0.55,-0.020000000000000018
NVDA,0,ext_h1,ext,29,1,244,100,100.0,0.05278923291439709,0.03935232573256697,1.3414514118719565,0.42,0.61,-0.19
NVDA,1,ext_h1,ext,29,1,344,100,100.0,0.06977406251430247,0.025173313201931568,2.771747284697854,0.51,0.5,0.010000000000000009
NVDA,2,ext_h1,ext,29,1,444,100,100.0,0.06533563709503028,0.029178748901977726,2.2391514219652455,0.5757575757575758,0.6262626262626263,-0.0505050505050505
NVDA,3,ext_h1,ext,29,1,544,100,100.0,0.038448942666345645,0.036735418852226524,1.0466450054921659,0.6,0.53,0.06999999999999995
NVDA,4,ext_h1,ext,29,1,644,100,100.0,0.032162676035894726,0.028088581083301895,1.1450445268313962,0.46,0.55,-0.09000000000000002
NVDA,0,ext_h5,ext,29,5,240,100,20.0,0.14537328858809184,0.0865265289559546,1.6801007776712338,0.2,0.81,-0.6100000000000001
NVDA,1,ext_h5,ext,29,5,340,100,20.0,0.08001446473334949,0.0550371440909862,1.4538266120980283,0.49,0.49,0.0
NVDA,2,ext_h5,ext,29,5,440,100,20.0,0.06735535489435597,0.06833773142990926,0.985624683246021,0.66,0.74,-0.07999999999999996
NVDA,3,ext_h5,ext,29,5,540,100,20.0,0.0811021362023194,0.0746062899017836,1.0870683465038584,0.47,0.56,-0.09000000000000008
